"R0000100","R7006500","R7703700","R8496100","T0987800","T2210000","T3107800"
511,-5,-5,-5,-5,-5,-5
512,60000,-5,-5,-5,-5,-5
513,-2,131290,160000,135300,68096,79680
514,0,10000,0,0,0,0
515,-5,-5,-5,-5,-5,-5
516,-5,-5,-5,17500,-2,-2
517,25000,-1,12000,3000,7000,3000
518,-2,-2,7800,11050,0,0
519,-2,19000,19000,0,4100,10000
520,75000,-2,85000,89000,130000,109000
521,50000,-2,-1,80000,-2,-2
522,27000,-5,-5,-5,-5,37000
523,52000,-5,-5,-5,-5,131000
524,-5,-5,-5,-5,-5,-5
525,-2,-5,-5,-5,-5,-5
526,332808,390662,408473,-5,-5,-5
527,40000,39500,45020,50000,62000,78000
528,91040,175000,100000,78000,97100,117125
529,52000,-5,-5,-5,-5,-5
530,-5,-2,48000,3032,-2,6273
531,-5,18000,48000,8000,3438,7608
532,-5,-5,-5,-5,-5,-5
533,54000,64600,88000,94250,96000,90000
534,28500,45500,45000,44500,65000,93000
535,-5,42000,-5,20000,-2,0
536,3540,5328,-2,0,984,265
537,-2,-5,-5,-5,0,0
538,5400,12300,15888,9600,10548,137088
539,-5,-5,-5,-5,-5,-5
540,-5,73000,50000,60000,60000,65000
541,28000,28000,56000,40900,-2,-2
542,68000,32740,40000,40000,63000,-2
543,92000,146000,134160,180000,86300,-2
544,68000,74000,72999,-2,105000,91000
545,-5,-5,-5,-5,-5,-5
546,36000,62708,64348,79224,167976,94028
547,92000,120500,137000,126002,108000,111000
548,52200,-5,59520,95000,98100,97000
549,72000,79000,101245,100000,145620,82328
550,10200,56717,46856,40032,45000,82552
551,-5,-5,-5,-5,-5,-5
552,-1,-2,-1,72500,-1,-1
553,114000,118000,111400,100300,112200,105100
554,89000,70000,80050,106100,159000,146000
555,42000,26000,40000,38000,900,1500
556,166000,-2,139500,189000,-5,-5
557,-2,35200,44000,46215,58014,59000
558,88600,-2,105000,110000,-2,111124
559,65000,87000,91000,112000,137000,140000
560,19500,114000,68000,78500,107000,52000
561,37075,35075,35600,44000,50100,59000
562,79500,79000,50000,56000,67500,84000
563,-2,-2,155000,114050,-2,-5
564,-5,-5,-5,53000,64000,46931
565,45100,60000,30000,55000,60000,72000
566,-5,-5,0,-5,-5,-5
567,112000,-1,408473,479983,454737,71450
568,-2,-2,-2,-2,-1,-2
569,-5,-5,-5,-5,-5,-5
570,90000,119305,136000,135500,147500,154000
571,61000,59000,63000,67000,90000,120000
